ID,Input,Output,Input_synonym,Output_synonym,Index
7,"Foreign Affairs is an American journal of international relations and U.S. foreign affairs published by the Council on Foreign Relations, a nonprofit, nonpartisan, membership organization and think tank specializing in U.S. foreign affairs and international affairs. Founded on 15 September 1922, the print journal is currently published every two months, while the website publishes articles daily and anthologies every other month. Foreign Affairs is considered one of the United States' most influential foreign affairs journals. Over its long history, it has published a number of seminal articles including George Kennan's 'X Article', published in 1947, and Samuel P. Huntington's 'The Clash of Civilizations', published in 1993. Leading academics, public officials, and members of the affairs community regularly appear contribute to the journal. Recent Foreign Affairs authors include Robert O. Keohane, Hillary Clinton, Donald H. Rumsfeld, Ashton Carter, Colin L. Powell, Francis Fukuyama, David Petraeus, Zbigniew Brzezinski, John J. Mearsheimer, Stanley McChrystal, Christopher R. Hill, and Joseph Nye.","Foreign Affairs is an American magazine of international relations and U.S. foreign policy published by the Council on Foreign Relations, a nonprofit, nonpartisan, membership organization and think tank specializing in U.S. foreign policy and international affairs. Founded on 15 September 1922, the print magazine is currently published every two months, while the website publishes articles daily and anthologies every other month. Foreign Affairs is considered one of the United States' most influential foreign policy magazines. Over its long history, it has published a number of seminal articles including George Kennan's 'X Article', published in 1947, and Samuel P. Huntington's 'The Clash of Civilizations', published in 1993. Leading academics, public officials, and members of the policy community regularly appear contribute to the magazine. Recent Foreign Affairs authors include Robert O. Keohane, Hillary Clinton, Donald H. Rumsfeld, Ashton Carter, Colin L. Powell, Francis Fukuyama, David Petraeus, Zbigniew Brzezinski, John J. Mearsheimer, Stanley McChrystal, Christopher R. Hill, and Joseph Nye.",journal,magazine,3
7,,,affairs,policy,15
7,,,affairs,policy,43
7,,,affairs,policy,92
7,,,journal,magazine,125
7,,,affairs,policy,137
7,,,journal,magazine,183
7,,,affairs,policy,195
8,"Power Rangers is an American entertainment and merchandising franchise built around a live-action superhero television franchise, based on the Japanese tokusatsu franchise Super Sentai. Produced first by Saban Entertainment, later by BVS Entertainment, and today by SCG Power Rangers and Hasbro, the television franchise takes much of its footage from the Super Sentai television franchise, produced by Toei Company. The first Power Rangers entry, Mighty Morphin Power Rangers, debuted on August 28, 1993, and helped launch the Fox Kids programming block of the 1990s, during which it catapulted into popular culture along with a line of action figures and other toys by Bandai.","Power Rangers is an American entertainment and merchandising franchise built around a live-action superhero television series, based on the Japanese tokusatsu franchise Super Sentai. Produced first by Saban Entertainment, later by BVS Entertainment, and today by SCG Power Rangers and Hasbro, the television series takes much of its footage from the Super Sentai television series, produced by Toei Company. The first Power Rangers entry, Mighty Morphin Power Rangers, debuted on August 28, 1993, and helped launch the Fox Kids programming block of the 1990s, during which it catapulted into popular culture along with a line of action figures and other toys by Bandai.",franchise,series,38
8,,,franchise,series,106
8,,,franchise,series,131
8,,,produced,generated,395
8,,,franchise,series,404
9,"Greenland (Greenlandic: Kalaallit Nunaat, pronounced [kalaːɬːit nʉnaːt]; Danish: Grønland, pronounced [ˈkʁɶnˌlænˀ]) is a North American autonomous country of the Kingdom of Denmark. It is the largest country within the Kingdom and one of three countries which form the Kingdom, the others being Denmark proper and the Faroe Islands; the citizens of all three countries are citizens of Denmark. As Greenland is one of the Overseas Countries and Countries of the European Union, citizens of Greenland are also granted European Union citizenship. The capital and largest city of Greenland is Nuuk. Greenland lies between the Arctic and Atlantic oceans, east of the Canadian Arctic Archipelago. It is the world's largest island, as well as the northernmost area of the world – Kaffeklubben Island off the northern coast is the world's northernmost undisputed point of land, and Cape Morris Jesup on the mainland was thought to be so until the 1960s. Though a part of the continent of North America, Greenland has been politically and culturally associated with Europe (specifically Norway and Denmark, the colonial powers) for more than a millennium, beginning in 986. Greenland has been inhabited at intervals over at least the last 4,500 years by Arctic peoples whose forebears migrated there from what is now Canada. Norsemen settled the uninhabited southern part of Greenland beginning in the 10th century, having previously settled Iceland. Inuit arrived in the 13th century. Though under continuous influence of Norway and Norwegians, Greenland was not formally under the Norwegian crown until 1261. The Norse colonies disappeared in the late 15th century, after Norway was hit by the Black Death and entered a severe decline. In the early 17th century, Dano-Norwegian explorers reached Greenland again. When Denmark and Norway separated Greenland became Danish in 1814 and was fully integrated in the Danish state in 1953 under the Constitution of Denmark, which made the people in Greenland citizens of Denmark. In 1979, Denmark granted home rule to Greenland; in 2008, Greenlanders voted for the Self-Government Act, which transferred more power from the Danish government to the local Greenlandic government. Under the new structure, Greenland has gradually assumed responsibility for a number of governmental services and areas of competence. The Danish government retains control of citizenship, monetary policy, and foreign affairs, including defence. Most citizens of Greenland are Inuit. The population is concentrated mainly on the southwest coast, and the rest of the island is sparsely populated. Three-quarters of Greenland is covered by the only permanent ice sheet outside Antarctica. With a population of 56,583 (2022), Greenland is the least densely populated region in the world. 67% of its electricity production comes from renewable energy, mostly from hydropower.","Greenland (Greenlandic: Kalaallit Nunaat, pronounced [kalaːɬːit nʉnaːt]; Danish: Grønland, pronounced [ˈkʁɶnˌlænˀ]) is a North American autonomous territory of the Kingdom of Denmark. It is the largest country within the Kingdom and one of three countries which form the Kingdom, the others being Denmark proper and the Faroe Islands; the citizens of all three countries are citizens of Denmark. As Greenland is one of the Overseas Countries and Territories of the European Union, citizens of Greenland are also granted European Union citizenship. The capital and largest city of Greenland is Nuuk. Greenland lies between the Arctic and Atlantic oceans, east of the Canadian Arctic Archipelago. It is the world's largest island, as well as the northernmost area of the world – Kaffeklubben Island off the northern coast is the world's northernmost undisputed point of land, and Cape Morris Jesup on the mainland was thought to be so until the 1960s. Though a part of the continent of North America, Greenland has been politically and culturally associated with Europe (specifically Norway and Denmark, the colonial powers) for more than a millennium, beginning in 986. Greenland has been inhabited at intervals over at least the last 4,500 years by Arctic peoples whose forebears migrated there from what is now Canada. Norsemen settled the uninhabited southern part of Greenland beginning in the 10th century, having previously settled Iceland. Inuit arrived in the 13th century. Though under continuous influence of Norway and Norwegians, Greenland was not formally under the Norwegian crown until 1261. The Norse colonies disappeared in the late 15th century, after Norway was hit by the Black Death and entered a severe decline. In the early 17th century, Dano-Norwegian explorers reached Greenland again. When Denmark and Norway separated Greenland became Danish in 1814 and was fully integrated in the Danish state in 1953 under the Constitution of Denmark, which made the people in Greenland citizens of Denmark. In 1979, Denmark granted home rule to Greenland; in 2008, Greenlanders voted for the Self-Government Act, which transferred more power from the Danish government to the local Greenlandic government. Under the new structure, Greenland has gradually assumed responsibility for a number of governmental services and areas of competence. The Danish government retains control of citizenship, monetary policy, and foreign affairs, including defence. Most residents of Greenland are Inuit. The population is concentrated mainly on the southwest coast, and the rest of the island is sparsely populated. Three-quarters of Greenland is covered by the only permanent ice sheet outside Antarctica. With a population of 56,583 (2022), Greenland is the least densely populated region in the world. 67% of its electricity production comes from renewable energy, mostly from hydropower.",country,territory,12
9,,,citizens,residents,120
10,"'Amazing Grace' is a Christian hymn published in 1779 with words written in 1772 by English Anglican clergyman and poet John Newton (1725–1807). It is an immensely popular hymn, particularly in the United States, where it is used for both religious and secular purposes. Newton wrote the words from personal experience; he grew up without any particular religious conviction, but his life's path was formed by a variety of twists and coincidences that were often put into motion by others' reactions to what they took as his recalcitrant insubordination. He was pressed into service with the Royal Navy, and after leaving the service, he became involved in the Atlantic slave trade. In 1748, a violent storm battered his vessel off the coast of County Donegal, Ireland, so severely that he called out to God for mercy. While this moment marked his spiritual conversion, he continued slave trading until 1754 or 1755, when he ended his seafaring altogether. Newton began studying Christian theology and later became an abolitionist. Ordained in the Church of England in 1764, Newton became the curate of Olney, Buckinghamshire, where he began to write hymns with poet William Cowper. 'Amazing Grace' was written to illustrate a sermon on New Year's Day of 1773. It is unknown if there was any music accompanying the verses; it may have been chanted by the congregation. It debuted in print in 1779 in Newton's and Cowper's Olney Hymns, but settled into relative obscurity in England. In the United States, 'Amazing Grace' became a popular hymn used by Baptist and Methodist preachers as part of their evangelizing, especially in the American South, during the Second Great Awakening of the early 19th century. It has been associated with more than 20 melodies. In 1835, American composer William Walker set it to the tune known as 'New Britain' in a shape note format; this is the version most frequently sung today.","'Amazing Grace' is a Christian hymn published in 1779 with words written in 1772 by English Anglican clergyman and poet John Newton (1725–1807). It is an immensely popular song, particularly in the United States, where it is used for both religious and secular purposes. Newton wrote the words from personal experience; he grew up without any particular religious conviction, but his life's path was formed by a variety of twists and coincidences that were often put into motion by others' reactions to what they took as his recalcitrant insubordination. He was pressed into service with the Royal Navy, and after leaving the service, he became involved in the Atlantic slave trade. In 1748, a violent storm battered his vessel off the coast of County Donegal, Ireland, so severely that he called out to God for mercy. While this moment marked his spiritual conversion, he continued slave trading until 1754 or 1755, when he ended his seafaring altogether. Newton began studying Christian theology and later became an abolitionist. Ordained in the Church of England in 1764, Newton became the curate of Olney, Buckinghamshire, where he began to write hymns with poet William Cowper. 'Amazing Grace' was written to illustrate a sermon on New Year's Day of 1773. It is unknown if there was any music accompanying the verses; it may have been chanted by the congregation. It debuted in print in 1779 in Newton's and Cowper's Olney Hymns, but settled into relative obscurity in England. In the United States, 'Amazing Grace' became a popular song used by Baptist and Methodist preachers as part of their evangelizing, especially in the American South, during the Second Great Awakening of the early 19th century. It has been associated with more than 20 melodies. In 1835, American composer William Walker set it to the tune known as 'New Britain' in a shape note format; this is the version most frequently sung today.",hymn,song,[index]
11,"The Taj Mahal is an ivory-white marble **mausoleum** on the right bank of the river Yamuna in Agra, Uttar Pradesh, India. It was commissioned in 1631 by the fifth Mughal emperor, Shah Jahan, to house the **mausoleum** of his beloved wife, Mumtaz Mahal; it also houses the **mausoleum** of Shah Jahan himself.","The Taj Mahal is an ivory-white marble **mausoleum** on the right bank of the river Yamuna in Agra, Uttar Pradesh, India. It was commissioned in 1631 by the fifth Mughal emperor, Shah Jahan, to house the **tomb** of his beloved wife, Mumtaz Mahal; it also houses the **tomb** of Shah Jahan himself.",mausoleum,tomb,52
11,,,,,62
11,,,,,72
12,"Prim's algorithm finds a subset of the edge that forms a tree that includes every vertex, where the total weight of all the edge in the tree is minimized. However, running Prim's algorithm separately for each connected component of the graph, it can also be used to find the minimum spanning tree. Initialize an empty tree F and a set Q of vertex that have not yet been included in F.","Prim's algorithm finds a subset of the edges that forms a tree that includes every vertex, where the total weight of all the edges in the tree is minimized. However, running Prim's algorithm separately for each connected component of the graph, it can also be used to find the minimum spanning forest. Initialize an empty forest F and a set Q of vertices that have not yet been included in F.",edge,edges,75
12,,,tree,forest,95
12,,,tree,forest,94
12,,,vertex,vertices,97
13,"The Eiffel Tower (French: Tour Eiffel) is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower from 1887 to 1889. Locally nicknamed 'La dame de fer' (French for 'Iron Lady'), it was built as the centerpiece of the 1889 World's Fair. Although initially criticised by some of France's leading artists and intellectuals for its design, it has since become a global cultural icon of France and one of the most recognisable structures in the world. The tower received 5,889,000 visitors in 2022. The Eiffel Tower is the most visited structure with an entrance fee in the world: 6.91 million people ascended it in 2015. It was designated a structure historique in 1964, and was named part of a UNESCO World Heritage Site ('Paris, Banks of the Seine') in 1991.","The Eiffel Tower (French: Tour Eiffel) is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower from 1887 to 1889. Locally nicknamed 'La dame de fer' (French for 'Iron Lady'), it was constructed as the centerpiece of the 1889 World's Fair. Although initially criticised by some of France's leading artists and intellectuals for its design, it has since become a global cultural icon of France and one of the most recognisable structures in the world. The tower received 5,889,000 visitors in 2022. The Eiffel Tower is the most visited monument with an entrance fee in the world: 6.91 million people ascended it in 2015. It was designated a monument historique in 1964, and was named part of a UNESCO World Heritage Site ('Paris, Banks of the Seine') in 1991.",designed,envisioned,
13,,,constructed,built,
13,,,structure,monument,
14,"The design of the Eiffel Tower is attributed to Maurice Koechlin and Émile Nouguier, two senior engineers working for the Compagnie des Établissements Eiffel. It was designed after discussion about a suitable centerpiece for the proposed 1889 Exposition Universelle, a world's fair to celebrate the centennial of the French Revolution. Eiffel openly acknowledged that inspiration for a tower came from the Latting Observatory built in New York City in 1853. In May 1884, working at home, Koechlin made a sketch of their idea, described by him as 'a great pylon, consisting of four lattice girders standing apart at the base and coming together at the top, joined together by metal trusses at regular intervals.'","The design of the Eiffel Tower is attributed to Maurice Koechlin and Émile Nouguier, two senior engineers working for the Compagnie des Établissements Eiffel. It was envisioned after discussion about a suitable centerpiece for the proposed 1889 Exposition Universelle, a world's fair to celebrate the centennial of the French Revolution. Eiffel openly acknowledged that inspiration for a tower came from the Latting Observatory built in New York City in 1853. In May 1884, working at home, Koechlin made a sketch of their idea, described by him as 'a great pylon, consisting of four lattice girders standing apart at the base and coming together at the top, joined together by metal trusses at regular intervals.'",design,envisioned,
14,,,tower,structure,
14,,,built,constructed,
15,"Fyodor Mikhailovich Dostoevsky was a Russian writer, short story writer, essayist and journalist.","Fyodor Mikhailovich Dostoevsky was a Russian novelist, short story writer, essayist and journalist.",writer,novelist,[index]
16,many of his works are considered highly influential masterpieces. His works were widely read.,many of his works are considered highly influential masterpieces. His writings were widely read.,works,writings,[index]
